epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
44,70153.6,0.97597,0.69745,1.03202,0.79955,0.68346,0.72218,0.49713,0.80363,0.55383,0.90714,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,72668.7,0.9747,0.6965,1.03112,0.79727,0.68442,0.72246,0.49753,0.80269,0.55315,0.90661,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,75171.8,0.97152,0.69382,1.02918,0.7997,0.68427,0.72336,0.49836,0.80174,0.55209,0.90602,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,77697.8,0.9718,0.69444,1.02985,0.79987,0.6862,0.72423,0.49887,0.80101,0.55124,0.90553,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,80250.9,0.97086,0.69265,1.02923,0.80066,0.68813,0.72465,0.49965,0.80014,0.55043,0.90496,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,82796.5,0.96802,0.69056,1.02784,0.79992,0.68849,0.72503,0.50065,0.79933,0.54952,0.9045,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,85340.9,0.96784,0.69055,1.02785,0.7998,0.68954,0.72617,0.50088,0.79851,0.54867,0.90407,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,2552.09,0.95672,0.68066,1.02449,0.80033,0.68917,0.72591,0.50141,0.79817,0.54833,0.90383,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,5167.57,0.96203,0.68552,1.02593,0.80025,0.6897,0.7271,0.50173,0.79756,0.5479,0.9035,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,7718.03,0.96185,0.68451,1.02511,0.8019,0.68943,0.72756,0.50242,0.79704,0.54743,0.90319,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,10295.4,0.9616,0.68392,1.02495,0.80211,0.69043,0.72743,0.50283,0.79648,0.54683,0.90286,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,12848.9,0.96094,0.6836,1.02445,0.80346,0.68983,0.72801,0.50362,0.79595,0.54633,0.90249,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,15446.7,0.95914,0.68235,1.02405,0.80516,0.6902,0.72851,0.50415,0.79542,0.54574,0.90205,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,17985.5,0.95712,0.6804,1.02304,0.80452,0.69208,0.7291,0.50484,0.79486,0.54522,0.90168,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,2621.67,0.93753,0.6638,1.01541,0.80486,0.69167,0.72943,0.50501,0.79455,0.54499,0.90143,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,5256.66,0.9465,0.6715,1.01882,0.80527,0.69039,0.72945,0.50529,0.79419,0.54461,0.90119,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,7876.08,0.94815,0.67163,1.01872,0.80672,0.69154,0.72976,0.50539,0.79394,0.54413,0.90101,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,10473.5,0.94973,0.67258,1.01915,0.8062,0.69223,0.73021,0.50602,0.7935,0.54379,0.90081,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,13094.6,0.95028,0.67341,1.01963,0.80615,0.69309,0.73033,0.5064,0.79318,0.54336,0.90058,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,15672.9,0.949,0.67302,1.0192,0.80706,0.69338,0.73089,0.5069,0.79289,0.54312,0.90039,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,18193.6,0.94747,0.67152,1.01868,0.8045,0.69519,0.7307,0.50751,0.79245,0.54262,0.90007,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,20778.8,0.94762,0.67175,1.0187,0.80432,0.69499,0.73045,0.50783,0.7919,0.54211,0.89977,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,23437.2,0.94595,0.66938,1.01695,0.80577,0.69436,0.73053,0.508,0.79136,0.5416,0.8994,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,26023.5,0.94394,0.6681,1.01684,0.80427,0.69576,0.7311,0.5084,0.79073,0.54129,0.89903,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,28646.8,0.94335,0.66765,1.01686,0.80438,0.69732,0.73229,0.50894,0.79012,0.54079,0.8987,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,31246.2,0.94229,0.66688,1.01606,0.80353,0.69664,0.73225,0.50975,0.78949,0.54022,0.89842,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,33854.9,0.93897,0.66352,1.01458,0.80484,0.69757,0.73343,0.51027,0.78904,0.5397,0.89814,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,36446.3,0.93662,0.66077,1.01302,0.80587,0.69744,0.73365,0.51047,0.78856,0.53927,0.89782,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,39030.3,0.93441,0.65935,1.01225,0.80691,0.69549,0.7342,0.51107,0.78788,0.53874,0.8974,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,41580.9,0.9354,0.66153,1.01325,0.80604,0.69721,0.73505,0.51148,0.78721,0.53831,0.897,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,44084.8,0.93143,0.65653,1.01135,0.80661,0.69777,0.73565,0.51212,0.78656,0.53785,0.89662,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,46658.8,0.92892,0.65446,1.00896,0.80628,0.69942,0.73627,0.51248,0.78594,0.53733,0.89629,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,49249.7,0.9274,0.65351,1.00909,0.80704,0.69978,0.73669,0.5132,0.78526,0.5369,0.89583,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,51841.3,0.92632,0.65217,1.00793,0.80656,0.70025,0.73707,0.51354,0.78471,0.53641,0.89549,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,54389.6,0.92423,0.64954,1.00732,0.80861,0.70058,0.73735,0.51411,0.78423,0.536,0.89519,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,57004.7,0.92176,0.64788,1.00645,0.80831,0.70139,0.73821,0.51492,0.78354,0.53546,0.89485,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,59655.3,0.92083,0.64718,1.00607,0.80852,0.70189,0.73876,0.51566,0.78295,0.53501,0.89457,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,62303.5,0.91954,0.64556,1.0051,0.80807,0.7023,0.73897,0.5161,0.7824,0.53465,0.89432,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,64990.9,0.91586,0.64226,1.00361,0.8091,0.70164,0.73971,0.51669,0.78192,0.53418,0.89405,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,67592,0.91493,0.64263,1.0035,0.81019,0.70177,0.73991,0.51688,0.78133,0.53376,0.89373,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,70257.7,0.9122,0.63951,1.00216,0.80959,0.70184,0.74076,0.51783,0.78061,0.53336,0.89333,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,72875.3,0.91148,0.63814,1.00184,0.81011,0.70398,0.74185,0.51827,0.78011,0.53296,0.89304,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,75566.1,0.90938,0.63683,1.00056,0.81057,0.70394,0.74182,0.51848,0.77949,0.53252,0.89276,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,78240.6,0.90576,0.63366,0.99886,0.81117,0.70458,0.74251,0.51902,0.77896,0.53206,0.89248,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,80855.2,0.90534,0.63365,0.99943,0.81209,0.70567,0.74318,0.51963,0.77843,0.53158,0.89221,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,83432.5,0.90438,0.63198,0.99859,0.81107,0.70613,0.74327,0.52002,0.7779,0.53117,0.8919,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,2576.15,0.89073,0.62124,0.99451,0.813,0.70567,0.74361,0.52029,0.77785,0.53069,0.89175,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,4893.59,0.8622,0.57094,0.96288,0.81186,0.70697,0.74437,0.52074,0.77722,0.53001,0.89137,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,2322.15,0.85881,0.56747,0.96151,0.81081,0.70719,0.74422,0.52082,0.77681,0.52956,0.89112,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,4634,0.85188,0.56201,0.95804,0.81128,0.70796,0.74527,0.52139,0.77611,0.52874,0.89068,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,6983.93,0.84727,0.5584,0.95534,0.81146,0.70823,0.74598,0.52218,0.77526,0.52804,0.89008,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,2271.38,0.84732,0.55907,0.95695,0.8122,0.70936,0.74623,0.52217,0.77517,0.52778,0.88996,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,4524.98,0.84394,0.55596,0.95503,0.81211,0.70933,0.74643,0.52251,0.77464,0.52733,0.88961,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,6900.88,0.84167,0.5541,0.95356,0.81193,0.71012,0.74693,0.52289,0.77412,0.52682,0.88917,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,9253.05,0.83917,0.55159,0.95262,0.81174,0.71075,0.74728,0.5233,0.77353,0.52621,0.88876,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,11618.2,0.83501,0.54859,0.9507,0.81053,0.71128,0.74759,0.52397,0.77295,0.52567,0.88837,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,2361.58,0.83151,0.54774,0.95117,0.81149,0.71137,0.74776,0.52392,0.7731,0.5256,0.88836,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
